epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2951.95,1.51339,1.469,1.53925,0.71271,0.64124,0.71277,0.41093,1.45143,1.24494,1.55068,0.000369316,0.000369316,0.000369316
2,5439.45,1.5281,1.47178,1.55017,0.71379,0.59283,0.68011,0.37799,1.50811,1.28469,1.60278,0.000725004,0.000725004,0.000725004
3,8306.38,1.54902,1.50333,1.5662,0.68875,0.59781,0.66546,0.3794,1.46369,1.33175,1.57806,0.00106603,0.00106603,0.00106603
4,11569.7,1.53714,1.47639,1.56197,0.71687,0.60945,0.68747,0.38587,1.5062,1.25877,1.58133,0.00104501,0.00104501,0.00104501
5,14123.5,1.52127,1.42989,1.54393,0.70108,0.59518,0.66697,0.37034,1.5042,1.28541,1.58198,0.00102301,0.00102301,0.00102301
6,16588.9,1.49974,1.41356,1.53356,0.76501,0.62335,0.71424,0.41714,1.43454,1.1724,1.55252,0.00100101,0.00100101,0.00100101
7,19333.5,1.47272,1.35804,1.50317,0.72648,0.65018,0.72304,0.42311,1.41531,1.16581,1.5424,0.000979013,0.000979013,0.000979013
8,22584.5,1.48482,1.36861,1.5226,0.72449,0.65082,0.71876,0.42003,1.43972,1.14511,1.55549,0.000957015,0.000957015,0.000957015
9,25028.1,1.46447,1.32896,1.49594,0.74877,0.63322,0.71496,0.41699,1.41453,1.1827,1.52989,0.000935018,0.000935018,0.000935018
10,27481.8,1.44634,1.29474,1.48939,0.78696,0.64795,0.74634,0.45068,1.37024,1.07376,1.50731,0.00091302,0.00091302,0.00091302
11,29904.9,1.43697,1.28976,1.47487,0.79626,0.66244,0.77106,0.46696,1.35705,1.02464,1.47952,0.000891022,0.000891022,0.000891022
12,32310.5,1.42429,1.27511,1.47027,0.79433,0.68026,0.7753,0.47586,1.33194,1.0266,1.45037,0.000869024,0.000869024,0.000869024
13,34727.5,1.40663,1.25303,1.46092,0.82129,0.69774,0.79132,0.48668,1.32568,0.97545,1.45697,0.000847026,0.000847026,0.000847026
14,37155,1.3871,1.20692,1.44444,0.83566,0.69223,0.80124,0.48628,1.32498,0.9684,1.45795,0.000825029,0.000825029,0.000825029
15,39503.1,1.37124,1.18613,1.43042,0.82532,0.71062,0.79651,0.49507,1.30588,0.97256,1.43715,0.000803031,0.000803031,0.000803031
16,41858.8,1.35833,1.1617,1.42103,0.8388,0.70689,0.80644,0.50099,1.27738,0.93886,1.4139,0.000781033,0.000781033,0.000781033
17,44211.9,1.35803,1.15698,1.41994,0.83372,0.70477,0.79846,0.497,1.28302,0.93383,1.42161,0.000759035,0.000759035,0.000759035
18,46590.7,1.32913,1.13242,1.40011,0.83516,0.72378,0.81717,0.51468,1.26594,0.91716,1.40749,0.000737037,0.000737037,0.000737037
19,48945.9,1.32213,1.12319,1.39375,0.83367,0.73119,0.8196,0.51767,1.25577,0.89993,1.39731,0.00071504,0.00071504,0.00071504
20,51307.6,1.30906,1.09458,1.39038,0.83938,0.70605,0.80806,0.51105,1.25937,0.90442,1.39793,0.000693042,0.000693042,0.000693042
21,53666.1,1.30254,1.08776,1.37665,0.83571,0.73115,0.81999,0.52831,1.23745,0.8814,1.38432,0.000671044,0.000671044,0.000671044
22,56031.8,1.28473,1.06265,1.36365,0.83884,0.73565,0.83052,0.5281,1.24186,0.87054,1.38466,0.000649046,0.000649046,0.000649046
23,58395.3,1.27545,1.04738,1.35425,0.85414,0.73533,0.83288,0.53564,1.22397,0.84835,1.37094,0.000627048,0.000627048,0.000627048
24,60772.4,1.27787,1.04254,1.35726,0.84887,0.74217,0.83396,0.53132,1.24032,0.84095,1.37574,0.000605051,0.000605051,0.000605051
25,63141.4,1.24322,1.00466,1.33158,0.85734,0.73596,0.83692,0.54677,1.19393,0.82909,1.3517,0.000583053,0.000583053,0.000583053
26,65515.6,1.24323,1.01071,1.33877,0.86369,0.73596,0.83967,0.54281,1.21694,0.81526,1.36242,0.000561055,0.000561055,0.000561055
27,67880.2,1.23012,0.99687,1.33084,0.86925,0.74021,0.84628,0.55685,1.19425,0.80968,1.35114,0.000539057,0.000539057,0.000539057
28,70258.6,1.22368,0.98648,1.31966,0.86963,0.75896,0.85041,0.56369,1.17918,0.78848,1.33471,0.000517059,0.000517059,0.000517059
29,72576.5,1.21467,0.97511,1.31748,0.84471,0.76875,0.85136,0.56198,1.18273,0.79337,1.33779,0.000495062,0.000495062,0.000495062
30,75959.3,1.2071,0.95925,1.30611,0.87051,0.75846,0.85629,0.56882,1.17055,0.78398,1.32559,0.000473064,0.000473064,0.000473064
31,79171.4,1.18887,0.9441,1.29697,0.83784,0.77746,0.85967,0.56904,1.1773,0.78083,1.3262,0.000451066,0.000451066,0.000451066
32,82018.2,1.17938,0.93182,1.28889,0.86357,0.76562,0.85722,0.57657,1.14816,0.76887,1.31618,0.000429068,0.000429068,0.000429068
33,84576.8,1.17355,0.92448,1.28599,0.88346,0.76049,0.86637,0.58359,1.1453,0.7508,1.31621,0.00040707,0.00040707,0.00040707
34,87053,1.16302,0.91448,1.28033,0.88125,0.7749,0.86781,0.58314,1.14735,0.75168,1.31421,0.000385073,0.000385073,0.000385073
35,89608.5,1.14984,0.8994,1.26675,0.87311,0.78937,0.87083,0.58563,1.13643,0.73536,1.30583,0.000363075,0.000363075,0.000363075
36,92111.5,1.14355,0.89845,1.26949,0.87636,0.79227,0.87163,0.59203,1.12657,0.72265,1.29835,0.000341077,0.000341077,0.000341077
37,94591.2,1.14057,0.88411,1.26034,0.87258,0.78739,0.8747,0.59225,1.13915,0.73137,1.29777,0.000319079,0.000319079,0.000319079
38,97056.5,1.1292,0.87381,1.25094,0.86917,0.81576,0.88228,0.59951,1.12332,0.71149,1.28848,0.000297081,0.000297081,0.000297081
39,99541.9,1.11742,0.85747,1.24552,0.87474,0.79357,0.87722,0.5959,1.12311,0.71893,1.28909,0.000275084,0.000275084,0.000275084
40,102007,1.10495,0.84705,1.23591,0.8757,0.79219,0.87887,0.60307,1.11395,0.70845,1.28399,0.000253086,0.000253086,0.000253086
41,104624,0.9915,0.65477,1.1923,0.86191,0.80778,0.88114,0.60089,1.12153,0.70988,1.28861,0.000231088,0.000231088,0.000231088
42,108748,0.97218,0.64205,1.17857,0.89434,0.7957,0.88121,0.60472,1.11641,0.70425,1.29124,0.00020909,0.00020909,0.00020909
43,111795,0.9531,0.63251,1.16852,0.87538,0.82502,0.88779,0.6072,1.11109,0.69302,1.29116,0.000187092,0.000187092,0.000187092
44,114668,0.94211,0.6197,1.16264,0.87623,0.81612,0.8869,0.60824,1.10857,0.68828,1.28752,0.000165095,0.000165095,0.000165095
45,117552,0.93385,0.60985,1.15595,0.90192,0.81169,0.89126,0.62024,1.08801,0.67889,1.27297,0.000143097,0.000143097,0.000143097
46,120478,0.91702,0.602,1.14145,0.90323,0.81073,0.88931,0.61574,1.10125,0.67644,1.28463,0.000121099,0.000121099,0.000121099
